game,Set,Set ID,name,English Name,card #,rarity,image_url
Pokemon	เมก้า ดรีมex	MA3	ไคลอส ของฮิบิกิ	Ethan's Pinsir	001/193	U
Pokemon	เมก้า ดรีมex	MA3	ไคลอส ของฮิบิกิ	Ethan's Pinsir	001/193	PB
Pokemon	เมก้า ดรีมex	MA3	ไคลอส ของฮิบิกิ	Ethan's Pinsir	001/193	ER
Pokemon	เมก้า ดรีมex	MA3	ยันยันมา	Yanma	002/193	C
Pokemon	เมก้า ดรีมex	MA3	ยันยันมา	Yanma	002/193	PB
Pokemon	เมก้า ดรีมex	MA3	ยันยันมา	Yanma	002/193	EH
Pokemon	เมก้า ดรีมex	MA3	เมกะยันมา ex	Yanmega ex	003/193	RR
Pokemon	เมก้า ดรีมex	MA3	เคมุตโสะ	Wurmple	004/193	C
Pokemon	เมก้า ดรีมex	MA3	เคมุตโสะ	Wurmple	004/193	PB
Pokemon	เมก้า ดรีมex	MA3	เคมุตโสะ	Wurmple	004/193	EH
Pokemon	เมก้า ดรีมex	MA3	คาราซาลิส	Silcoon	005/193	C
Pokemon	เมก้า ดรีมex	MA3	คาราซาลิส	Silcoon	005/193	PB
Pokemon	เมก้า ดรีมex	MA3	คาราซาลิส	Silcoon	005/193	EH
Pokemon	เมก้า ดรีมex	MA3	อาเกฮันท์	Beautifly	006/193	U
Pokemon	เมก้า ดรีมex	MA3	อาเกฮันท์	Beautifly	006/193	PB
Pokemon	เมก้า ดรีมex	MA3	อาเกฮันท์	Beautifly	006/193	EH
Pokemon	เมก้า ดรีมex	MA3	มายูลด์	Cascoon	007/193	C
Pokemon	เมก้า ดรีมex	MA3	มายูลด์	Cascoon	007/193	PB
Pokemon	เมก้า ดรีมex	MA3	มายูลด์	Cascoon	007/193	EH
Pokemon	เมก้า ดรีมex	MA3	โดคุเคล	Dustox	008/193	U
Pokemon	เมก้า ดรีมex	MA3	โดคุเคล	Dustox	008/193	PB
Pokemon	เมก้า ดรีมex	MA3	โดคุเคล	Dustox	008/193	EH
Pokemon	เมก้า ดรีมex	MA3	โรเซเลีย ของชิโรนะ	Cynthia's Roselia	009/193	C
Pokemon	เมก้า ดรีมex	MA3	โรเซเลีย ของชิโรนะ	Cynthia's Roselia	009/193	PB
Pokemon	เมก้า ดรีมex	MA3	โรเซเลีย ของชิโรนะ	Cynthia's Roselia	009/193	EH
